Title,Number,Abbreviation,AvgWorkloadRating,AvgDifficultyRating,AvgUtilityRating
Compartv Healthcare In Ireland,10215,SA,0,0,0
Nursing In Europe,10215,SA,0,0,0
SLHS In Zambia,10216,SA,0,0,0
HDFS Abroad,10217,SA,0,0,0
Turkey Study Abroad,10217,SA,0,0,0
Evidence-Based Nursing In Ireland,10218,SA,0,0,0
Int'l Business & Not-for-Profi,10220,SA,0,0,0
Int'l Bus & Not-for-Profit,10220,SA,0,0,0
Introduction To Personal Finance,10300,CSR,0,0,0
Introduction To Engineering In Practice,10300,ENGR,0,0,0
Introduction To Careers In Engineering,10300,ENGR,0,0,0
Aerospace Vehicle Propulsion And Tracking Systems,10300,AT,0,0,0
Creative Rhythms And Dance,10300,HK,0,0,0
Jazz Dance I,10300,DANC,0,0,0
Introduction To The Medieval World,10300,HIST,0,0,0
Introduction To Environmental Conservation,10300,FNR,0,0,0
Global Studies,10302,SA,0,0,0
Post-Colonial Studies In London,10302,SA,0,0,0
Introduction To Intercultural Teamwork In China,10303,SA,0,0,0
Comm In Global Organizations,10304,SA,0,0,0
Communication In Global Organizations,10304,SA,0,0,0
English Education Abroad,10305,SA,0,0,0
Anatolian Archaeology Field School,10307,SA,0,0,0
Global Perspectives Health And Kinesiology,10309,SA,0,0,0
Spanish In Madrid,10310,SA,0,0,0
Latin American And Latino Studies Abroad,10314,SA,0,0,0
Purdue Music Abroad,10315,SA,0,0,0
Ethnographic Field Mthd Brazil,10317,SA,0,0,0
Ethnographic Field Meth: Brazi,10317,SA,0,0,0
Ethnographic Field Mthd,10317,SA,0,0,0
Professional Writing Abroad,10319,SA,0,0,0
Women's Studies Abroad,10320,SA,0,0,0
Womens Studies In India,10320,SA,0,0,0
Womens Gender &Sexuality India,10320,SA,0,0,0
Communication In A Global Context: Italy,10321,SA,0,0,0
Portuguese In Brazil,10322,SA,0,0,0
Global Studies In Brazil,10322,SA,0,0,0
Brazil & Explore African Hert,10323,SA,0,0,0
Studies In African Diaspora,10323,SA,0,0,0
African American Studies Abroad,10323,SA,0,0,0
Ghana And The African Diaspora,10323,SA,0,0,0
Purdue In Paris Summer Prgm,10325,SA,0,0,0
Classics Abroad:Ancient Greece,10326,SA,0,0,0
Ancient Greece,10326,SA,0,0,0
Latin American And Latino Studies Abroad II,10328,SA,0,0,0
Purdue History Abroad II,10329,SA,0,0,0
Purdue Anthropology Archeology Abroad,10330,SA,0,0,0
Purdue History Abroad I,10331,SA,0,0,0
Purdue On the Rhine,10331,SA,0,0,0
London: A GlobalCity,10331,SA,0,0,0
Communications In Spain,10334,SA,0,0,0
Global Intern Prog In Seoul,10335,SA,0,0,0
Trieste Summer Abroad,10336,SA,0,0,0
Study Religion In China,10337,SA,0,0,0
 IDIS Internship,10338,SA,0,0,0
Educational Gymnastics And Adventure Education,10400,HK,0,0,0
Oceanography,10400,EAS,0,0,0
Industrial Organization,10400,IT,0,0,0
Introduction To The Modern World,10400,HIST,0,0,0
Introduction To Agricultural Systems,10400,ASM,0,0,0
Oceanography,10400,EAPS,0,0,0
First Year Physics Seminar,10400,PHYS,0,0,0
Introduction To Engineering And Purdue,10400,ENGR,0,0,0
Education Block II Abroad,10401,SA,0,0,0
Education Block II In India,10401,SA,0,0,0
Ed Maymester North Europe,10402,SA,0,0,0
EDU Summer In Europe,10402,SA,0,0,0
EDU Summer Abroad,10403,SA,0,0,0
Block I - Jamaica,10404,SA,0,0,0
Education Block I - Jamaica,10404,SA,0,0,0
Maymester In Tanzania,10405,SA,0,0,0
Math Educ Abroad-Tanzania,10405,SA,0,0,0
Mathematics Education Abroad,10405,SA,0,0,0
Education Abroad Germany,10406,SA,0,0,0
Education Block III In Germany,10406,SA,0,0,0
Research In Romania,10407,SA,0,0,0
Crop Production,10500,AGRY,0,0,0
Survey Of Global History,10500,HIST,0,0,0
Introduction To C Programming,10500,CNIT,0,0,0
Nutrition In The 21st Century,10500,NUTR,0,0,0
Introduction to Veterinary Technology-DL,10500,VM,0,0,0
Design I,10500,AD,0,0,0
Basic Aircraft Electrical Theory,10500,AT,0,0,0
Insects: Friend And Foe,10500,ENTM,0,0,0
Accelerated Portuguese,10500,PTGS,0,0,0
The Planets,10500,EAPS,0,0,0
The Planets,10500,EAS,0,0,0
Global History-Honors,10500,HIST,0,0,0
Development And Analysis Of Invasion Games,10500,HK,0,0,0
Accelerated Basic Italian,10500,ITAL,0,0,0
First Yr Engr Seminar-Honors,10500,ENGR,0,0,0
Academic And Career Plan,10500,EDPS,0,0,0
Agricultural Systems Computations And Communication,10500,ASM,0,0,0
Earthquake Engineering Abroad,10501,SA,0,0,0
ECE Study Abroad,10503,SA,0,0,0
"Sustain Across Sectors, Sweden",10505,SA,0,0,0
21st Century Europe Transportn,10505,SA,0,0,0
CE Abroad: UK Infrastructures,10505,SA,0,0,0
Engineering Cultures Of East Asia,10506,SA,0,0,0
Drinking Water Issues,10507,SA,0,0,0
Global Design Teams,10507,SA,0,0,0
Matrls for Biomedical Devices,10510,SA,0,0,0
Materials Engineering Abroad,10510,SA,0,0,0
Civil Engineering Practices Abroad,10511,SA,0,0,0
Civil Engineering And The Global Impact,10512,SA,0,0,0
Global Climate Change: Brazil,10513,SA,0,0,0
Engr/Public Hlth In Serv Secr,10514,SA,0,0,0
ENGR Services Abroad: Rome,10514,SA,0,0,0
Engineering Services Abroad,10514,SA,0,0,0
Europe/US Perspectv Space Expl,10515,SA,0,0,0
NASA & Europn Flgt Test Cmprsn,10515,SA,0,0,0
AAE Abroad,10515,SA,0,0,0
Biomedical Engineering Abroad,10517,SA,0,0,0
EEE Research Abroad,10518,SA,0,0,0
Global Alt Power Solutions,10519,SA,0,0,0
Chem Engr Switzerland,10520,SA,0,0,0
Chemical Engr In Colombia,10520,SA,0,0,0
Singapore:Chemical Eng UG,10520,SA,0,0,0
EPICS Ecuador,10521,SA,0,0,0
EPICS Global,10521,SA,0,0,0
Uncertn Quant Fluid Dynamics,10522,SA,0,0,0
Engr Practice & Educ In India,10522,SA,0,0,0
Basic Aircraft Science,10600,AT,0,0,0
Geosciences In The Cinema,10600,EAS,0,0,0
Biology Companion Animal,10600,ANSC,0,0,0
Development And Analysis Of Net/Wall Games,10600,HK,0,0,0
Introduction To The Profession Of Dietetics,10600,NUTR,0,0,0
Introduction To The Profession Of Dietetics,10600,FN,0,0,0
Design II,10600,AD,0,0,0
Geosciences In The Cinema,10600,EAPS,0,0,0
The Profession Of Dietetics,10600,NUTR,0,0,0
First-Year Composition,10600,ENGL,0,0,0
Contemporary Issues In International Public Health,10601,SA,0,0,0
American Landscapes,10700,EAS,0,0,0
Chinese For Heritage Students,10700,CHNS,0,0,0
Development And Analysis Of Target And Field Games,10700,HK,0,0,0
Introduction To Nutrition Science,10700,NUTR,0,0,0
Pathway To Purdue,10700,AGR,0,0,0
Asian Emerging Markets,10701,SA,0,0,0
Doing Business In China For Undergraduates,10702,SA,0,0,0
Business Studies In London,10703,SA,0,0,0
Global Entreprshp & Innovation,10705,SA,0,0,0
Global Entrepreneurship,10705,SA,0,0,0
Business Strategies And Political Populism In Latin America,10707,SA,0,0,0
Krannert Marketing Abroad,10708,SA,0,0,0
Krannert In Siena,10709,SA,0,0,0
Economics In Madrid,10709,SA,0,0,0
Manage Global Bus Environment,10709,SA,0,0,0
Entrepreneurship In Southeast Asia Module I,10710,SA,0,0,0
Entrepreneurship In Southeast Asia Module II,10711,SA,0,0,0
Entrepreneurship In Southeast Asia Module I And II,10712,SA,0,0,0
Accelerated First-Year Composition,10800,ENGL,0,0,0
Introduction To Nursing,10800,NUR,0,0,0
Mathematics As A Profession And A Discipline,10800,MA,0,0,0
Computer Science Tanzania,10801,SA,0,0,0
Coral Reef Res Study Abroad,10802,SA,0,0,0
Glaciation Sweden & Norway,10802,SA,0,0,0
Glaciation Sweden,10802,SA,0,0,0
Alpine Geology,10803,SA,0,0,0
Combine Glaciatn & Alpine Geo,10804,SA,0,0,0
The Dynamic Earth,10900,EAPS,0,0,0
Unmanned Aerial Systems Design And Construction,10900,AT,0,0,0
General Chemistry With Biological Focus,10901,CHM,0,0,0
Aviation Tour Of Europe,10901,SA,0,0,0
Sustainable Energy Technologies: An International Perspective,10903,SA,0,0,0
International Construction Management In Ireland,10905,SA,0,0,0
Intrntl Constrctn Mgmt In Chin,10906,SA,0,0,0
CNIT Summer Abroad,10907,SA,0,0,0
Innovation Energy Entrepreneurship,10908,SA,0,0,0
Organizational Leadership And Supervision Study Abroad Europe,10911,SA,0,0,0
Aviation Technology In China,10912,SA,0,0,0
Aviation Technology China,10912,SA,0,0,0
Technology Careers Abroad-Undergraduates,10913,SA,0,0,0
CNIT In Asia,10914,SA,0,0,0
MET Problem Solving In China,10915,SA,0,0,0
Building Construction Management In The Middle East,10917,SA,0,0,0
Contr Supply Chain Mgmt,10918,SA,0,0,0
Building Construction Management In Latin America,10918,SA,0,0,0
Computer Graphics Technology Interactive Media Abroad,10919,SA,0,0,0
Computer Information Technology Abroad: Norway,10921,SA,0,0,0
CPS Robots & IDT South Korea,10921,SA,0,0,0
Purdue Computer Graphics Technology Abroad In Latin America,10923,SA,0,0,0
Computer Graphics Technology At Harbin Institute Of Technology,10925,SA,0,0,0
Int'l Senior Capstone: Germany,10926,SA,0,0,0
Int'l Senior Capstone: Poland,10926,SA,0,0,0
England For Inventors,10927,SA,0,0,0
Appl Prin Flui Pwr Robotc Syst,10927,SA,0,0,0
Tech Innovtn Culture Bavaria,10928,SA,0,0,0
Introduction To Plant Science,11000,BTNY,0,0,0
Marching Band,11000,BAND,0,0,0
Introduction To Computers,11000,CS,0,0,0
Science Honors Seminar,11000,SCI,0,0,0
Technical Graphics Communications,11000,CGT,0,0,0
Survey Of Horticulture,11000,HORT,0,0,0
Introduction To Philosophy,11000,PHIL,0,0,0
Foundations Of Air Force I,11000,AFT,0,0,0
Survey Of Turfgrass Culture,11000,AGRY,0,0,0
Fundamentals Of Biology I,11000,BIOL,0,0,0
Intro To Philosophy-Honors,11000,PHIL,0,0,0
Introduction To Energy Engineering,11000,NUCL,0,0,0
Introduction To Naval Science,11000,NS,0,0,0
Transylvania Study Tour,11002,SA,0,0,0
Making The Human In Venice,11003,SA,0,0,0
Humans And Animals In Peru,11003,SA,0,0,0
French Food Culture,11004,SA,0,0,0
Ethics-Honors,11100,PHIL,0,0,0
Prototyping In Engineering/Technology Education,11100,IT,0,0,0
Physical Geology,11100,EAS,0,0,0
Air Force ROTC Leadership Laboratory I,11100,AFT,0,0,0
Gateway To Technology Leadership And Innovation,11100,TLI,0,0,0
First Year Participation In EPICS I,11100,EPCS,0,0,0
Survey Of Turfgrass Culture,11100,HORT,0,0,0
Symphony Orchestra,11100,BAND,0,0,0
Insects In Prose And Poetry,11100,ENTM,0,0,0
Elementary Standard Arabic Conversation I,11100,ARAB,0,0,0
Designing For Visualization And Communication,11100,CGT,0,0,0
Fundamentals Of Biology II,11100,BIOL,0,0,0
Introduction To Agricultural And Biological Engineering Academic Programs,11100,AGR,0,0,0
Italian Conversation I,11100,ITAL,0,0,0
General Chemistry,11100,CHM,0,0,0
Lifetime Fitness,11100,PES,0,0,0
Applied Statics,11100,MET,0,0,0
Conversation Supplement To Russian Level I,11100,RUSS,0,0,0
Ethics,11100,PHIL,0,0,0
Physical Geology,11100,EAPS,0,0,0
Practical Applications Of Health/Fitness Concepts I,11101,HK,0,0,0
Italian Conversation II,11200,ITAL,0,0,0
Conversation Supplement To Russian Level II,11200,RUSS,0,0,0
Elementary French Conversation I,11200,FR,0,0,0
Elementary French Conversation,11200,FR,0,0,0
General Chemistry,11200,CHM,0,0,0
Beginning Swim,11200,PES,0,0,0
Elementary Spanish Conversation,11200,SPAN,0,0,0
Introduction To Agricultural Economics Academic Programs,11200,AGR,0,0,0
Elementary Spanish Conversation I,11200,SPAN,0,0,0
Earth Through Time,11200,EAS,0,0,0
Elementary Italian Conversation,11200,ITAL,0,0,0
Elementary German Conversation,11200,GER,0,0,0
Elementary German Conversation I,11200,GER,0,0,0
Aquatics,11200,HK,0,0,0
Foundations Of Organizational Leadership,11200,TLI,0,0,0
Earth Through Time,11200,EAPS,0,0,0
Sketching For Visualization And Communication,11200,CGT,0,0,0
Elementary Standard Arabic Conversation II,11200,ARAB,0,0,0
Fundamentals Of Biology,11200,BIOL,0,0,0
American Music Review,11200,BAND,0,0,0
Construction Surveying Fundamentals,11201,BCM,0,0,0
Jazz Ensemble,11300,BAND,0,0,0
Mechanics Applications,11300,MET,0,0,0
Introduction To Agronomy Academic Programs,11300,AGR,0,0,0
Fundamentals Of Biology,11300,BIOL,0,0,0
Statistics And Society,11300,STAT,0,0,0
Introduction To Environmental Science,11300,EAS,0,0,0
Basic Drawing,11300,AD,0,0,0
Practical Applications Of Health/Fitness Concepts II,11300,HK,0,0,0
Introduction To Environmental Science,11300,EAPS,0,0,0
Introduction to Animal Sciences Academic Programs,11400,AGR,0,0,0
Exercise & Fitness,11400,PES,0,0,0
Fundament Of Speech-Honors,11400,COM,0,0,0
Teaching Fitness In Physical Education,11400,HK,0,0,0
Weight Training,11400,PES,0,0,0
Fundamentals Of Speech Communication,11400,COM,0,0,0
NROTC Marine Condition,11400,PES,0,0,0
Basic Jazz,11400,BAND,0,0,0
Army ROTC Conditioning,11400,PES,0,0,0
Drawing II,11400,AD,0,0,0
Global Moral Issues,11400,PHIL,0,0,0
AFROTC Conditioning,11400,PES,0,0,0
Exercise And Fitness,11400,PES,0,0,0
Exercise To Music,11400,PES,0,0,0
General Chemistry,11500,CHM,0,0,0
Anatomy For VT-DL,11500,BMS,0,0,0
Introduction To Biochemistry Academic Programs,11500,AGR,0,0,0
Biology Resource Seminar,11500,BIOL,0,0,0
Bowling,11500,PES,0,0,0
Introduction To Communicative Disorders,11500,SLHS,0,0,0
Earthquakes And Volcanoes,11600,EAS,0,0,0
Golf,11600,PES,0,0,0
Intermediate Tennis,11600,PES,0,0,0
Earthquakes And Volcanoes,11600,EAPS,0,0,0
Anatomy II VT-DL,11600,BMS,0,0,0
Intermed Tennis,11600,PES,0,0,0
Graphic Communication For Students Of Landscape Architects And Design,11600,LA,0,0,0
Geometric Modeling For Visualization And Communication,11600,CGT,0,0,0
Advanced Tennis,11600,PES,0,0,0
Beginning Tennis,11600,PES,0,0,0
Symphonic Band,11600,BAND,0,0,0
General Chemistry,11600,CHM,0,0,0
Introduction To Entomology Academic Programs,11700,AGR,0,0,0
Computer Technology In Design,11700,LA,0,0,0
Introduction To Atmospheric Science,11700,EAS,0,0,0
Photography I: Black And White Processes And Aesthetics,11700,AD,0,0,0
Introduction To Atmospheric Science,11700,EAPS,0,0,0
Concert Band,11700,BAND,0,0,0
Fundamentals Of Imaging Technology,11800,CGT,0,0,0
Introduction To Food Science Academic Programs,11800,AGR,0,0,0
Introduction To Earth Sciences,11800,EAPS,0,0,0
Introduction To Earth Sciences,11800,EAS,0,0,0
Analysis Of Sport Performance,11800,HK,0,0,0
Collegiate Band,11800,BAND,0,0,0
Instructional Techniques Of Group Exercise,11900,HK,0,0,0
Unmanned Aerial Systems Inspection And Repair,11900,AT,0,0,0
Photography II: Color Imaging And Studio Practice,11900,AD,0,0,0
Introduction To Academic Programs At Purdue,11900,GS,0,0,0
Introduction To Forestry And Natural Resources Academic Programs,11900,AGR,0,0,0
Varsity Band,11900,BAND,0,0,0
Introduction To Public Policy And Public Administration,12000,POL,0,0,0
Applied Music Studies,12000,BAND,0,0,0
Elementary Psychology,12000,PSY,0,0,0
Elementary Psychology-Honors,12000,PSY,0,0,0
Gateway To Electrical Engineering Technology,12000,ECET,0,0,0
Water And Food Security,12000,AGRY,0,0,0
Critical Thinking,12000,PHIL,0,0,0
Technology And The Individual,12000,TECH,0,0,0
Introduction To Geography,12000,EAPS,0,0,0
Analysis Of Sport Performance Training II,12000,HK,0,0,0
MARS Explorations,12000,MARS,0,0,0
Freshman Research Project,12000,NUCL,0,0,0
Foundations Of Air Force II,12000,AFT,0,0,0
Design Thinking In Technology,12000,TECH,0,0,0
Introduction To Apparel Industry,12000,CSR,0,0,0
Introduction To Geography,12000,EAS,0,0,0
Introduction To Horticulture And Landscape Architecture Academic Programs,12000,AGR,0,0,0
First Year Participation In EPICS II,12100,EPCS,0,0,0
Introduction To Youth Development And Agricultural Education Academic Programs,12100,AGR,0,0,0
"Biology I: Diversity, Ecology, And Behavior",12100,BIOL,0,0,0
Biblical Hebrew Level I,12100,HEBR,0,0,0
Air Force ROTC Leadership Laboratory II,12100,AFT,0,0,0
Biblical Hebrew Level II,12200,HEBR,0,0,0
Introduction To Natural Resources And Environmental Science Academic Programs,12200,AGR,0,0,0
Introduction To College Of Agriculture Pre Veterinary Medicine Academic Programs,12400,AGR,0,0,0
Introduction To Interior Design,12500,AD,0,0,0
Food Safety Certification,12500,FN,0,0,0
Introduction To Chemistry I,12500,CHM,0,0,0
Food Safety Certification,12500,NUTR,0,0,0
Introduction To Plant Science,12500,AGR,0,0,0
Introduction To Chemistry II,12600,CHM,0,0,0
General Chemistry With A Biological Focus,12901,CHM,0,0,0
Structural Systems,13000,BCM,0,0,0
Interior Design Communication,13000,AD,0,0,0
Introduction To Medical Laboratory Science,13000,HSCI,0,0,0
Design Process And Communication,13000,AD,0,0,0
Strength And Conditioning Roundtable,13000,HK,0,0,0
Fundamental Principles Of Dance Technique,13000,DANC,0,0,0
Introduction To Modern Dance,13000,DANC,0,0,0
Intro To Intl Relations-Honors,13000,POL,0,0,0
Introduction To International Relations,13000,POL,0,0,0
Intro To Int Reltns-Honors,13000,POL,0,0,0
Introduction To Medical Technology,13000,HSCI,0,0,0
Medical Terminology,13100,HSCI,0,0,0
Introduction To Medical Terminology,13100,HSCI,0,0,0
Transforming Ideas To Innovation I,13100,ENGR,0,0,0
"Biology II: Development, Structure, And Function Of Organisms",13100,BIOL,0,0,0
Transforming Ideas To Innovation II,13200,ENGR,0,0,0
"Transforming Ideas To Innovation, EPICS",13300,ENGR,0,0,0
Survey Of Acting,13300,THTR,0,0,0
First year Biology Laboratory,13500,BIOL,0,0,0
Physiology For VT-DL,13500,BMS,0,0,0
Introduction To Health And Kinesiology,13500,HK,0,0,0
Personal Computing Technology And Applications,13600,CNIT,0,0,0
General Chemistry Honors,13600,CHM,0,0,0
Physiology For Vet Tech II - DL,13600,BMS,0,0,0
Freshman Seminar In Earth And Atmospheric Sciences,13700,EAS,0,0,0
Mathematics For Elementary Teachers I,13700,MA,0,0,0
Freshman Seminar In Earth And Atmospheric Sciences,13700,EAPS,0,0,0
Mathematics For Elementary Teachers II,13800,MA,0,0,0
Thunderstorms And Tornadoes,13800,EAS,0,0,0
Thunderstorms And Tornadoes,13800,EAPS,0,0,0
Mathematics For Elementary Teachers III,13900,MA,0,0,0
Small Animal Nursing I For Vet Techs-DL,14000,VCS,0,0,0
Introduction To Veterinary Technology,14000,VM,0,0,0
Dance Improvisation,14000,DANC,0,0,0
Veterinary Technology Abroad,14001,SA,0,0,0
Vet Med Externship,14001,SA,0,0,0
Financial Accounting For The Service Industries,14100,HTM,0,0,0
Small Animal Nursing II For Vet Techs-DL,14100,VCS,0,0,0
Internet Foundations Technologies And Development,14100,CGT,0,0,0
Honors Creativity And Innovation In Engineering Design I,14100,ENGR,0,0,0
Govts Of The World-Honors,14100,POL,0,0,0
Governments Of The World,14100,POL,0,0,0
Honors Creativity And Innovation In Engineering Design II,14200,ENGR,0,0,0
Diagnostic Imaging For Vet Techs I -DL,14200,VCS,0,0,0
Materials And Processes I,14300,MET,0,0,0
Diagnostic Imaging For Vet Techs II -DL,14300,VCS,0,0,0
Contact Improvisation,14400,DANC,0,0,0
Materials And Processes II,14400,MET,0,0,0
Private Pilot Lectures,14400,AT,0,0,0
Anesthesia For Vet Techs I -DL,14500,VCS,0,0,0
Private Pilot Flight,14500,AT,0,0,0
First Year Biology Laboratory With Neuro Research Project,14501,BIOL,0,0,0
Anethesia For Vet Techs II -DL,14600,VCS,0,0,0
Introduction To Biology,14600,BIOL,0,0,0
Design Drawing I,14600,AD,0,0,0
Visual Effects Introduction,14700,CGT,0,0,0
Principles Of Techniques and Sterilization-DL,14700,VCS,0,0,0
Large Animal Nursing and Health Management I - Distance Learning,14800,VCS,0,0,0
"Mechanics, Heat, And Wave Motion",14900,PHYS,0,0,0
Large Animal Nursing and Health Management II - Distance Learning,14900,VCS,0,0,0
Preservation Issues,15000,LA,0,0,0
Principles Of Logic,15000,PHIL,0,0,0
Clinical Pathology I-DL,15000,CPB,0,0,0
Introduction To Drafting,15001,THTR,0,0,0
Introduction To Scenery Construction Tools And Techniques,15002,THTR,0,0,0
Introduction To Rigging For Theatre,15003,THTR,0,0,0
Building Preservation,15100,LA,0,0,0
Clinical Pathology II-DL,15100,CPB,0,0,0
American History To 1877,15100,HIST,0,0,0
Business Principles For Organizational Leadership,15200,TLI,0,0,0
United States Since 1877,15200,HIST,0,0,0
Community Preservation,15200,LA,0,0,0
Clinical Pathology III-DL,15200,CPB,0,0,0
College Algebra,15200,MA,0,0,0
Agricultural Communication Seminar,15200,YDAE,0,0,0
Algebra And Trigonometry I,15300,MATH,0,0,0
Algebra And Trigonometry I,15300,MA,0,0,0
Algebra And Trigonometry II,15400,MATH,0,0,0
Algebra And Trigonometry II,15400,MA,0,0,0
Introduction to Object-Oriented Programming,15500,CNIT,0,0,0
Introduction To Soil Morphology,15500,AGRY,0,0,0
Introduction To Software Development Concepts,15501,CNIT,0,0,0
Quantitative Reasoning,15555,MA,0,0,0
C Programming,15800,CS,0,0,0
Precalculus- Functions And Trigonometry,15800,MA,0,0,0
Precalculus,15900,MA,0,0,0
Programming Applications For Engineers,15900,CS,0,0,0
Introduction To Calculus,15910,MA,0,0,0
Introduction To Scene Design And Technology,16000,THTR,0,0,0
Applied Calculus I,16010,MA,0,0,0
Applied Calculus II,16020,MA,0,0,0
Applied Calculus II And Differential Equations,16021,MA,0,0,0
Prototyping In Engineering/Technology Education,16100,TLI,0,0,0
Plane Analytic Geometry And Calculus I,16100,MA,0,0,0
Science Of Food,16100,FS,0,0,0
Introduction To Costume Design And Technology,16100,THTR,0,0,0
Introduction To Light Design And Technology,16200,THTR,0,0,0
Plane Analytic Geometry And Calculus II,16200,MA,0,0,0
