Title,Number,Subject/Abbreviation
Computer Science Tanzania,10801,SA
Coral Reef Res Study Abroad,10802,SA
Glaciation Sweden & Norway,10802,SA
Glaciation Sweden,10802,SA
Alpine Geology,10803,SA
Combine Glaciatn & Alpine Geo,10804,SA
The Dynamic Earth,10900,EAPS
Unmanned Aerial Systems Design And Construction,10900,AT
General Chemistry With Biological Focus,10901,CHM
Aviation Tour Of Europe,10901,SA
Sustainable Energy Technologies: An International Perspective,10903,SA
International Construction Management In Ireland,10905,SA
Intrntl Constrctn Mgmt In Chin,10906,SA
CNIT Summer Abroad,10907,SA
Innovation Energy Entrepreneurship,10908,SA
Organizational Leadership And Supervision Study Abroad Europe,10911,SA
Aviation Technology In China,10912,SA
Aviation Technology China,10912,SA
Technology Careers Abroad-Undergraduates,10913,SA
CNIT In Asia,10914,SA
MET Problem Solving In China,10915,SA
Building Construction Management In The Middle East,10917,SA
Contr Supply Chain Mgmt,10918,SA
Building Construction Management In Latin America,10918,SA
Computer Graphics Technology Interactive Media Abroad,10919,SA
Computer Information Technology Abroad: Norway,10921,SA
CPS Robots & IDT South Korea,10921,SA
Purdue Computer Graphics Technology Abroad In Latin America,10923,SA
Computer Graphics Technology At Harbin Institute Of Technology,10925,SA
Int'l Senior Capstone: Germany,10926,SA
Int'l Senior Capstone: Poland,10926,SA
England For Inventors,10927,SA
Appl Prin Flui Pwr Robotc Syst,10927,SA
Tech Innovtn Culture Bavaria,10928,SA
Introduction To Plant Science,11000,BTNY
Marching Band,11000,BAND
Introduction To Computers,11000,CS
Science Honors Seminar,11000,SCI
Technical Graphics Communications,11000,CGT
Survey Of Horticulture,11000,HORT
Introduction To Philosophy,11000,PHIL
Foundations Of Air Force I,11000,AFT
Survey Of Turfgrass Culture,11000,AGRY
Fundamentals Of Biology I,11000,BIOL
Intro To Philosophy-Honors,11000,PHIL
Introduction To Energy Engineering,11000,NUCL
Introduction To Naval Science,11000,NS
Transylvania Study Tour,11002,SA
Making The Human In Venice,11003,SA
Humans And Animals In Peru,11003,SA
French Food Culture,11004,SA
Ethics-Honors,11100,PHIL
Prototyping In Engineering/Technology Education,11100,IT
Physical Geology,11100,EAS
Air Force ROTC Leadership Laboratory I,11100,AFT
Gateway To Technology Leadership And Innovation,11100,TLI
First Year Participation In EPICS I,11100,EPCS
Survey Of Turfgrass Culture,11100,HORT
Symphony Orchestra,11100,BAND
Insects In Prose And Poetry,11100,ENTM
Elementary Standard Arabic Conversation I,11100,ARAB
Designing For Visualization And Communication,11100,CGT
Fundamentals Of Biology II,11100,BIOL
Introduction To Agricultural And Biological Engineering Academic Programs,11100,AGR
Italian Conversation I,11100,ITAL
General Chemistry,11100,CHM
Lifetime Fitness,11100,PES
Applied Statics,11100,MET
Conversation Supplement To Russian Level I,11100,RUSS
Ethics,11100,PHIL
Physical Geology,11100,EAPS
Practical Applications Of Health/Fitness Concepts I,11101,HK
Italian Conversation II,11200,ITAL
Conversation Supplement To Russian Level II,11200,RUSS
Elementary French Conversation I,11200,FR
Elementary French Conversation,11200,FR
General Chemistry,11200,CHM
Beginning Swim,11200,PES
Elementary Spanish Conversation,11200,SPAN
Introduction To Agricultural Economics Academic Programs,11200,AGR
Elementary Spanish Conversation I,11200,SPAN
Earth Through Time,11200,EAS
Elementary Italian Conversation,11200,ITAL
Elementary German Conversation,11200,GER
Elementary German Conversation I,11200,GER
Aquatics,11200,HK
Foundations Of Organizational Leadership,11200,TLI
Earth Through Time,11200,EAPS
Sketching For Visualization And Communication,11200,CGT
Elementary Standard Arabic Conversation II,11200,ARAB
Fundamentals Of Biology,11200,BIOL
American Music Review,11200,BAND
Construction Surveying Fundamentals,11201,BCM
Jazz Ensemble,11300,BAND
Mechanics Applications,11300,MET
Introduction To Agronomy Academic Programs,11300,AGR
Fundamentals Of Biology,11300,BIOL
Statistics And Society,11300,STAT
Introduction To Environmental Science,11300,EAS
Basic Drawing,11300,AD
Practical Applications Of Health/Fitness Concepts II,11300,HK
Introduction To Environmental Science,11300,EAPS
Introduction to Animal Sciences Academic Programs,11400,AGR
Exercise & Fitness,11400,PES
Fundament Of Speech-Honors,11400,COM
Teaching Fitness In Physical Education,11400,HK
Weight Training,11400,PES
Fundamentals Of Speech Communication,11400,COM
NROTC Marine Condition,11400,PES
Basic Jazz,11400,BAND
Army ROTC Conditioning,11400,PES
Drawing II,11400,AD
Global Moral Issues,11400,PHIL
AFROTC Conditioning,11400,PES
Exercise And Fitness,11400,PES
Exercise To Music,11400,PES
General Chemistry,11500,CHM
Anatomy For VT-DL,11500,BMS
Introduction To Biochemistry Academic Programs,11500,AGR
Biology Resource Seminar,11500,BIOL
Bowling,11500,PES
Introduction To Communicative Disorders,11500,SLHS
Earthquakes And Volcanoes,11600,EAS
Golf,11600,PES
Intermediate Tennis,11600,PES
Earthquakes And Volcanoes,11600,EAPS
Anatomy II VT-DL,11600,BMS
Intermed Tennis,11600,PES
Graphic Communication For Students Of Landscape Architects And Design,11600,LA
Geometric Modeling For Visualization And Communication,11600,CGT
Advanced Tennis,11600,PES
Beginning Tennis,11600,PES
Symphonic Band,11600,BAND
General Chemistry,11600,CHM
Introduction To Entomology Academic Programs,11700,AGR
Computer Technology In Design,11700,LA
Introduction To Atmospheric Science,11700,EAS
Photography I: Black And White Processes And Aesthetics,11700,AD
Introduction To Atmospheric Science,11700,EAPS
Concert Band,11700,BAND
Fundamentals Of Imaging Technology,11800,CGT
Introduction To Food Science Academic Programs,11800,AGR
Introduction To Earth Sciences,11800,EAPS
Introduction To Earth Sciences,11800,EAS
Analysis Of Sport Performance,11800,HK
Collegiate Band,11800,BAND
Instructional Techniques Of Group Exercise,11900,HK
Unmanned Aerial Systems Inspection And Repair,11900,AT
Photography II: Color Imaging And Studio Practice,11900,AD
Introduction To Academic Programs At Purdue,11900,GS
Introduction To Forestry And Natural Resources Academic Programs,11900,AGR
Varsity Band,11900,BAND
Introduction To Public Policy And Public Administration,12000,POL
Applied Music Studies,12000,BAND
Elementary Psychology,12000,PSY
Elementary Psychology-Honors,12000,PSY
Gateway To Electrical Engineering Technology,12000,ECET
Water And Food Security,12000,AGRY
Critical Thinking,12000,PHIL
Technology And The Individual,12000,TECH
Introduction To Geography,12000,EAPS
Analysis Of Sport Performance Training II,12000,HK
MARS Explorations,12000,MARS
Freshman Research Project,12000,NUCL
Foundations Of Air Force II,12000,AFT
Design Thinking In Technology,12000,TECH
Introduction To Apparel Industry,12000,CSR
Introduction To Geography,12000,EAS
Introduction To Horticulture And Landscape Architecture Academic Programs,12000,AGR
First Year Participation In EPICS II,12100,EPCS
Introduction To Youth Development And Agricultural Education Academic Programs,12100,AGR
"Biology I: Diversity, Ecology, And Behavior",12100,BIOL
Biblical Hebrew Level I,12100,HEBR
Air Force ROTC Leadership Laboratory II,12100,AFT
Biblical Hebrew Level II,12200,HEBR
Introduction To Natural Resources And Environmental Science Academic Programs,12200,AGR
Introduction To College Of Agriculture Pre Veterinary Medicine Academic Programs,12400,AGR
Introduction To Interior Design,12500,AD
Food Safety Certification,12500,FN
Introduction To Chemistry I,12500,CHM
Food Safety Certification,12500,NUTR
Introduction To Plant Science,12500,AGR
Introduction To Chemistry II,12600,CHM
General Chemistry With A Biological Focus,12901,CHM
Structural Systems,13000,BCM
Interior Design Communication,13000,AD
Introduction To Medical Laboratory Science,13000,HSCI
Design Process And Communication,13000,AD
Strength And Conditioning Roundtable,13000,HK
Fundamental Principles Of Dance Technique,13000,DANC
Introduction To Modern Dance,13000,DANC
Intro To Intl Relations-Honors,13000,POL
Introduction To International Relations,13000,POL
Intro To Int Reltns-Honors,13000,POL
Introduction To Medical Technology,13000,HSCI
Medical Terminology,13100,HSCI
Introduction To Medical Terminology,13100,HSCI
Transforming Ideas To Innovation I,13100,ENGR
"Biology II: Development, Structure, And Function Of Organisms",13100,BIOL
Transforming Ideas To Innovation II,13200,ENGR
"Transforming Ideas To Innovation, EPICS",13300,ENGR
Survey Of Acting,13300,THTR
First year Biology Laboratory,13500,BIOL
Physiology For VT-DL,13500,BMS
Introduction To Health And Kinesiology,13500,HK
Personal Computing Technology And Applications,13600,CNIT
General Chemistry Honors,13600,CHM
Physiology For Vet Tech II - DL,13600,BMS
Freshman Seminar In Earth And Atmospheric Sciences,13700,EAS
Mathematics For Elementary Teachers I,13700,MA
Freshman Seminar In Earth And Atmospheric Sciences,13700,EAPS
Mathematics For Elementary Teachers II,13800,MA
Thunderstorms And Tornadoes,13800,EAS
Thunderstorms And Tornadoes,13800,EAPS
Mathematics For Elementary Teachers III,13900,MA
Small Animal Nursing I For Vet Techs-DL,14000,VCS
Introduction To Veterinary Technology,14000,VM
Dance Improvisation,14000,DANC
Veterinary Technology Abroad,14001,SA
Vet Med Externship,14001,SA
Financial Accounting For The Service Industries,14100,HTM
Small Animal Nursing II For Vet Techs-DL,14100,VCS
Internet Foundations Technologies And Development,14100,CGT
Honors Creativity And Innovation In Engineering Design I,14100,ENGR
Govts Of The World-Honors,14100,POL
Governments Of The World,14100,POL
Honors Creativity And Innovation In Engineering Design II,14200,ENGR
Diagnostic Imaging For Vet Techs I -DL,14200,VCS
Materials And Processes I,14300,MET
Diagnostic Imaging For Vet Techs II -DL,14300,VCS
Contact Improvisation,14400,DANC
Materials And Processes II,14400,MET
Private Pilot Lectures,14400,AT
Anesthesia For Vet Techs I -DL,14500,VCS
Private Pilot Flight,14500,AT
First Year Biology Laboratory With Neuro Research Project,14501,BIOL
Anethesia For Vet Techs II -DL,14600,VCS
Introduction To Biology,14600,BIOL
Design Drawing I,14600,AD
Visual Effects Introduction,14700,CGT
Principles Of Techniques and Sterilization-DL,14700,VCS
Large Animal Nursing and Health Management I - Distance Learning,14800,VCS
"Mechanics, Heat, And Wave Motion",14900,PHYS
Large Animal Nursing and Health Management II - Distance Learning,14900,VCS
Preservation Issues,15000,LA
Principles Of Logic,15000,PHIL
Clinical Pathology I-DL,15000,CPB
Introduction To Drafting,15001,THTR
Introduction To Scenery Construction Tools And Techniques,15002,THTR
Introduction To Rigging For Theatre,15003,THTR
Building Preservation,15100,LA
Clinical Pathology II-DL,15100,CPB
American History To 1877,15100,HIST
Business Principles For Organizational Leadership,15200,TLI
United States Since 1877,15200,HIST
Community Preservation,15200,LA
Clinical Pathology III-DL,15200,CPB
College Algebra,15200,MA
Agricultural Communication Seminar,15200,YDAE
Algebra And Trigonometry I,15300,MATH
Algebra And Trigonometry I,15300,MA
Algebra And Trigonometry II,15400,MATH
Algebra And Trigonometry II,15400,MA
Introduction to Object-Oriented Programming,15500,CNIT
Introduction To Soil Morphology,15500,AGRY
Introduction To Software Development Concepts,15501,CNIT
Quantitative Reasoning,15555,MA
C Programming,15800,CS
Precalculus- Functions And Trigonometry,15800,MA
Precalculus,15900,MA
Programming Applications For Engineers,15900,CS
Introduction To Calculus,15910,MA
Introduction To Scene Design And Technology,16000,THTR
Applied Calculus I,16010,MA
Applied Calculus II,16020,MA
Applied Calculus II And Differential Equations,16021,MA
Prototyping In Engineering/Technology Education,16100,TLI
Plane Analytic Geometry And Calculus I,16100,MA
Science Of Food,16100,FS
Introduction To Costume Design And Technology,16100,THTR
Introduction To Light Design And Technology,16200,THTR
Plane Analytic Geometry And Calculus II,16200,MA
Computational Analysis Tools In MET,16200,MET
Introduction To Food Processing,16200,FS
Introduction To Event And Meeting Planning Industry,16200,HTM
Introduction To Sound Design And Technology,16300,THTR
Introduction To Graphics For Manufacturing,16300,CGT
Graphical Communication And Spatial Analysis,16300,CGT
Graphics For Civil Engineering And Construction,16400,CGT
Introduction To Theatre Organization And Management,16400,THTR
Analytic Geometry And Calculus I,16500,MA
History And Theory Of Landscape Architecture,16600,LA
Analytic Geometry And Calculus II,16600,MA
Introduction To Actuarial Science,17000,MA
Introduction To Actuarial Science,17000,STAT
Modern Mechanics-Honors,17200,PHYS
Modern Mechanics,17200,PHYS
Human-Centered Design And Development Experience Studio I,17207,CGT
 HCDD Learning Studio I,17208,CGT
Introduction To Tourism Management,17300,HTM
Calculus And Analytic Geometry II,17300,MA
Multivariable Calculus,17400,MA
Information Strategies For Management,17500,MGMT
Information Strategies-Honors,17500,GS
Information Strategies,17500,GS
Construction Materials And Methods,17500,BCM
Visual Programming,17500,CNIT
Information Technology Architectures,17600,CNIT
Professional Internship I,17600,ENGR
Programming With Multimedia Objects,17700,CS
Data Acquisition And Systems Control,17700,ECET
Study Skills Seminar,17700,GS
Introduction To Digital Systems,17900,ECET
Introduction To Systems Development,18000,CNIT
 Engineering Tech Foundations,18000,ENGT
Engineering Technology Foundations,18000,ENGT
Problem Solving And Object-Oriented Programming,18000,CS
Minorities In Engineering Seminar,18000,ENGR
Engineering Technology Applications,18100,ENGT
 Engineering Tech Applications,18100,ENGT
Honors Calculus I,18100,MA
Classical World Civilizations,18100,CLCS
Orientation To Animal Sciences,18100,ANSC
Lodging Management,18100,HTM
Foundations Of Computer Science,18200,CS
Honors Calculus II,18200,MA
Cooperative Work Experience I,18300,CHM
Professional Practicum I,18300,MA
Professional Practice I,18300,PHYS
Cooperative Work Experience I,18300,STAT
Professional Practice I,18300,CS
Professional Practicum II,18400,MA
Cooperative Work Experience II,18400,STAT
Professional Practice II,18400,PHYS
Cooperative Work Experience II,18400,CHM
Professional Practice II,18400,CS
Intro To Algebra,19000,MA
Topics In Computer Science,19000,CS
Contempory Issues Computing,19000,CS
Topics In CS,19000,CS
Toxicology Lab Experience,19000,HSCI
Topics In Mathematics For Undergraduates,19000,MA
Topics In Industrial Technology,19000,IT
Digital Literacy,19000,CS
PLTW Biotech Certification,19000,IT
First Year Statistics Seminar,19000,STAT
Introduction To Electrical And Computer Engineering,19000,ECE
Learning Community Seminar,19000,CS
Quantitative Reasoning,19000,MA
Intro To MGMT & Info Strat,19000,MGMT
Introduction To Materials Engineering,19000,MSE
Topics In Computer Sciences,19000,CS
Elem Tpc Math Undergrad,19000,MA
Data Analysis Seminar,19000,STAT
Topics In Statistics For Undergraduates,19000,STAT
Software Security Research,19000,CS
Tools,19000,CS
Rock And Mineral Lab,19100,EAS
Dynamic Earth,19100,EAS
Freshman Resources Seminar,19100,CS
Planet Earth Laboratory,19100,EAPS
No Fear,19100,EAPS
Planet Earth Laboratory,19100,EAS
Service Learn Outreach,19100,EAPS
Introductory Topics In Earth And Atmospheric Science,19100,EAPS
Service Learn Outreach,19100,EAS
Construction Internship I,19100,CEM
Supervised Work Experience,19100,IT
Cooperative And Professional Work Experience I,19100,AD
Part-Time Curricular Practical Training,19100,SCI
Nrly Op Forecast Exp & Report,19100,EAPS
"Sanitation And Health In Foodservice, Lodging, And Tourism",19100,HTM
Dynamic Earth Lab,19100,EAS
Cooperative And Professional Work Experience II,19200,AD
Cooperative And Professional Work Experience III,19300,AD
Freshman Chemistry Orientation,19400,CHM
Women In Engineering Seminar,19400,ENGR
Cooperative And Professional Work Experience IV,19400,AD
Cooperative And Professional Work Experience V,19500,AD
ENGR Leadership,19500,ENGR
The Historian's Craft: Historical Research And Film,19500,HIST
Ecology Of Plant Reproduction,19500,BIOL
Makers Cross-Cultural Perpctv,19500,ENGR
Science Mentoring,19500,SCI
EPICS Learning Community,19500,ENGR
Caspie Laboratory,19500,BIOL
Creatv&Innovatn Engr II-Honors,19500,ENGR
Organismal Dev & Physiology,19500,BIOL
Instruction To Communication,19500,SCI
Year I Bio Lab:Disease Ecology,19500,BIOL
Honors Creatv&Innovatn Engr I,19500,ENGR
"Biodiversity,Ecology&Evolution",19500,BIOL
Admissions Internship,19500,SCI
Engr Ambas Ldrshp Sem,19500,ENGR
Plan For Engr Leadrshp Dev,19500,ENGR
Biol Mentoring,19500,SCI
Intro To Engr Disciplines,19500,ENGR
Frst Yr Exp:Transition&Success,19500,ENGR
Reflection On Engr Ldrship,19500,ENGR
Washington DC Practicum,19500,ENGR
Freshman Scholars Project Seminar,19500,HSCI
Global Science Ldrshp Seminar,19500,SCI
Bonding Serv Learning,19500,SCI
Adv Writing Lab Intro Biology,19500,BIOL
The Purdue Energy Academy,19500,BIOL
Portfolio Of Exp Engr Ldrshp,19500,ENGR
Honors Computer Tools Overview,19500,ENGR
Discovering Engineering,19500,ENGR
Biology Mentoring,19500,SCI
School Of Health Sciences Freshman Honors Seminar,19501,HSCI
School Of Health Sciences Freshman Honors Project,19601,HSCI
Purdue Promise First-Year Experience Course,19700,GS
EAS Freshman Honors Special Assignment,19700,EAS
Chemistry Freshman Honors Research,19700,CHM
Biology Freshman Honors Seminar,19700,BIOL
First Year Honors Seminar,19700,CSR
Freshman Honors Seminar,19700,CS
Health&Human Science First Year Honors Seminar-Global Challenges In Human Health And Quality Of Life,19700,HHS
Wild Things Learning Community,19800,FNR
McDonldiztn Of Society,19900,HONR
Team Performance,19900,HONR
Brain Disorders,19900,HONR
Independent Learning Module,19900,TECH
McDonaldization Of Society,19900,HONR
"Politics, Culture & Cartoons",19900,HONR
Strategies For A Successful First Year,19900,GS
Tpcs Humanities & Technology,19900,TECH
Veterans Learning Community,19900,CNIT
Experiential Learning,19900,TECH
"AIDS: Biomd, Soc&Eth Iss",19900,HONR
"Economics In Lit, Drama & Art",19900,HONR
The History Of Great Ideas,19900,HONR
Beyond Afghanistan,19900,HONR
Electric Vehicle Design & Fab,19900,TECH
Design Lab II,19900,TECH
Animals In Global Culture,19900,HONR
Animals In Societies,19900,HONR
Idea Of Honors,19900,HONR
Special Topics In Technology,19900,TECH
First Year Honors Seminar,19900,HONR
Reading & Seeing Middle Ages,19900,HONR
Human Genetics,19900,HONR
"Sense, Sensibility & Cyborgs",19900,TECH
The Presidential Seminar,19900,HONR
App Sustainability Principles,19900,TECH
The Great War & Its Aftermath,19900,HONR
Science And Pseudoscience,19900,HONR
Superheroes & American Culture,19900,HONR
Publishing Bootcamp,19900,HONR
Seminar II,19900,TECH
Civic Ident In Emer Democracy,19900,HONR
Stem Cells,19900,HONR
