"","Title","Number","Abbreviation","AvgWorkloadRating","AvgDifficultyRating","AvgUtilityRating"
"129","Global Studies",10302,"SA",0,0,0
"131","Introduction To Intercultural Teamwork In China",10303,"SA",0,0,0
"132","Comm In Global Organizations",10304,"SA",0,0,0
"134","English Education Abroad",10305,"SA",0,0,0
"135","Anatolian Archaeology Field School",10307,"SA",0,0,0
"136","Global Perspectives Health And Kinesiology",10309,"SA",0,0,0
"137","Spanish In Madrid",10310,"SA",0,0,0
"138","Latin American And Latino Studies Abroad",10314,"SA",0,0,0
"139","Purdue Music Abroad",10315,"SA",0,0,0
"140","Ethnographic Field Mthd Brazil",10317,"SA",0,0,0
"143","Professional Writing Abroad",10319,"SA",0,0,0
"144","Women's Studies Abroad",10320,"SA",0,0,0
"147","Communication In A Global Context: Italy",10321,"SA",0,0,0
"148","Portuguese In Brazil",10322,"SA",0,0,0
"150","Brazil & Explore African Hert",10323,"SA",0,0,0
"154","Purdue In Paris Summer Prgm",10325,"SA",0,0,0
"155","Classics Abroad:Ancient Greece",10326,"SA",0,0,0
"157","Latin American And Latino Studies Abroad II",10328,"SA",0,0,0
"158","Purdue History Abroad II",10329,"SA",0,0,0
"159","Purdue Anthropology Archeology Abroad",10330,"SA",0,0,0
"160","Purdue History Abroad I",10331,"SA",0,0,0
"163","Communications In Spain",10334,"SA",0,0,0
"164","Global Intern Prog In Seoul",10335,"SA",0,0,0
"165","Trieste Summer Abroad",10336,"SA",0,0,0
"166","Study Religion In China",10337,"SA",0,0,0
"167"," IDIS Internship",10338,"SA",0,0,0
"168","Educational Gymnastics And Adventure Education",10400,"HK",0,0,0
"169","Oceanography",10400,"EAS",0,0,0
"170","Industrial Organization",10400,"IT",0,0,0
"171","Introduction To The Modern World",10400,"HIST",0,0,0
"172","Introduction To Agricultural Systems",10400,"ASM",0,0,0
"173","Oceanography",10400,"EAPS",0,0,0
"174","First Year Physics Seminar",10400,"PHYS",0,0,0
"175","Introduction To Engineering And Purdue",10400,"ENGR",0,0,0
"176","Education Block II Abroad",10401,"SA",0,0,0
"178","Ed Maymester North Europe",10402,"SA",0,0,0
"180","EDU Summer Abroad",10403,"SA",0,0,0
"181","Block I - Jamaica",10404,"SA",0,0,0
"183","Maymester In Tanzania",10405,"SA",0,0,0
"186","Education Abroad Germany",10406,"SA",0,0,0
"188","Research In Romania",10407,"SA",0,0,0
"189","Crop Production",10500,"AGRY",0,0,0
"190","Survey Of Global History",10500,"HIST",0,0,0
"191","Introduction To C Programming",10500,"CNIT",0,0,0
"192","Nutrition In The 21st Century",10500,"NUTR",0,0,0
"193","Introduction to Veterinary Technology-DL",10500,"VM",0,0,0
"194","Design I",10500,"AD",0,0,0
"195","Basic Aircraft Electrical Theory",10500,"AT",0,0,0
"196","Insects: Friend And Foe",10500,"ENTM",0,0,0
"197","Accelerated Portuguese",10500,"PTGS",0,0,0
"198","The Planets",10500,"EAPS",0,0,0
"199","The Planets",10500,"EAS",0,0,0
"201","Development And Analysis Of Invasion Games",10500,"HK",0,0,0
"202","Accelerated Basic Italian",10500,"ITAL",0,0,0
"203","First Yr Engr Seminar-Honors",10500,"ENGR",0,0,0
"204","Academic And Career Plan",10500,"EDPS",0,0,0
"205","Agricultural Systems Computations And Communication",10500,"ASM",0,0,0
"206","Earthquake Engineering Abroad",10501,"SA",0,0,0
"207","ECE Study Abroad",10503,"SA",0,0,0
"208","Sustain Across Sectors, Sweden",10505,"SA",0,0,0
"211","Engineering Cultures Of East Asia",10506,"SA",0,0,0
"212","Drinking Water Issues",10507,"SA",0,0,0
"214","Matrls for Biomedical Devices",10510,"SA",0,0,0
"216","Civil Engineering Practices Abroad",10511,"SA",0,0,0
"217","Civil Engineering And The Global Impact",10512,"SA",0,0,0
"218","Global Climate Change: Brazil",10513,"SA",0,0,0
"219","Engr/Public Hlth In Serv Secr",10514,"SA",0,0,0
"222","Europe/US Perspectv Space Expl",10515,"SA",0,0,0
"225","Biomedical Engineering Abroad",10517,"SA",0,0,0
"226","EEE Research Abroad",10518,"SA",0,0,0
"227","Global Alt Power Solutions",10519,"SA",0,0,0
"228","Chem Engr Switzerland",10520,"SA",0,0,0
"231","EPICS Ecuador",10521,"SA",0,0,0
"233","Uncertn Quant Fluid Dynamics",10522,"SA",0,0,0
"235","Basic Aircraft Science",10600,"AT",0,0,0
"236","Geosciences In The Cinema",10600,"EAS",0,0,0
"237","Biology Companion Animal",10600,"ANSC",0,0,0
"238","Development And Analysis Of Net/Wall Games",10600,"HK",0,0,0
"239","Introduction To The Profession Of Dietetics",10600,"NUTR",0,0,0
"240","Introduction To The Profession Of Dietetics",10600,"FN",0,0,0
"241","Design II",10600,"AD",0,0,0
"242","Geosciences In The Cinema",10600,"EAPS",0,0,0
"244","First-Year Composition",10600,"ENGL",0,0,0
"245","Contemporary Issues In International Public Health",10601,"SA",0,0,0
"246","American Landscapes",10700,"EAS",0,0,0
"247","Chinese For Heritage Students",10700,"CHNS",0,0,0
"248","Development And Analysis Of Target And Field Games",10700,"HK",0,0,0
"249","Introduction To Nutrition Science",10700,"NUTR",0,0,0
"250","Pathway To Purdue",10700,"AGR",0,0,0
"251","Asian Emerging Markets",10701,"SA",0,0,0
"252","Doing Business In China For Undergraduates",10702,"SA",0,0,0
"253","Business Studies In London",10703,"SA",0,0,0
"254","Global Entreprshp & Innovation",10705,"SA",0,0,0
"256","Business Strategies And Political Populism In Latin America",10707,"SA",0,0,0
"257","Krannert Marketing Abroad",10708,"SA",0,0,0
"258","Krannert In Siena",10709,"SA",0,0,0
"261","Entrepreneurship In Southeast Asia Module I",10710,"SA",0,0,0
"262","Entrepreneurship In Southeast Asia Module II",10711,"SA",0,0,0
"263","Entrepreneurship In Southeast Asia Module I And II",10712,"SA",0,0,0
"264","Accelerated First-Year Composition",10800,"ENGL",0,0,0
"265","Introduction To Nursing",10800,"NUR",0,0,0
"266","Mathematics As A Profession And A Discipline",10800,"MA",0,0,0
"267","Computer Science Tanzania",10801,"SA",0,0,0
"268","Coral Reef Res Study Abroad",10802,"SA",0,0,0
"271","Alpine Geology",10803,"SA",0,0,0
"272","Combine Glaciatn & Alpine Geo",10804,"SA",0,0,0
"273","The Dynamic Earth",10900,"EAPS",0,0,0
"274","Unmanned Aerial Systems Design And Construction",10900,"AT",0,0,0
"275","General Chemistry With Biological Focus",10901,"CHM",0,0,0
"276","Aviation Tour Of Europe",10901,"SA",0,0,0
"277","Sustainable Energy Technologies: An International Perspective",10903,"SA",0,0,0
"278","International Construction Management In Ireland",10905,"SA",0,0,0
"279","Intrntl Constrctn Mgmt In Chin",10906,"SA",0,0,0
"280","CNIT Summer Abroad",10907,"SA",0,0,0
"281","Innovation Energy Entrepreneurship",10908,"SA",0,0,0
"282","Organizational Leadership And Supervision Study Abroad Europe",10911,"SA",0,0,0
"283","Aviation Technology In China",10912,"SA",0,0,0
"285","Technology Careers Abroad-Undergraduates",10913,"SA",0,0,0
"286","CNIT In Asia",10914,"SA",0,0,0
"287","MET Problem Solving In China",10915,"SA",0,0,0
"288","Building Construction Management In The Middle East",10917,"SA",0,0,0
"289","Contr Supply Chain Mgmt",10918,"SA",0,0,0
"291","Computer Graphics Technology Interactive Media Abroad",10919,"SA",0,0,0
"292","Computer Information Technology Abroad: Norway",10921,"SA",0,0,0
"294","Purdue Computer Graphics Technology Abroad In Latin America",10923,"SA",0,0,0
"295","Computer Graphics Technology At Harbin Institute Of Technology",10925,"SA",0,0,0
"296","Int'l Senior Capstone: Germany",10926,"SA",0,0,0
"298","England For Inventors",10927,"SA",0,0,0
"300","Tech Innovtn Culture Bavaria",10928,"SA",0,0,0
"301","Introduction To Plant Science",11000,"BTNY",0,0,0
"302","Marching Band",11000,"BAND",0,0,0
"303","Introduction To Computers",11000,"CS",0,0,0
"304","Science Honors Seminar",11000,"SCI",0,0,0
"305","Technical Graphics Communications",11000,"CGT",0,0,0
"306","Survey Of Horticulture",11000,"HORT",0,0,0
"307","Introduction To Philosophy",11000,"PHIL",0,0,0
"308","Foundations Of Air Force I",11000,"AFT",0,0,0
"309","Survey Of Turfgrass Culture",11000,"AGRY",0,0,0
"310","Fundamentals Of Biology I",11000,"BIOL",0,0,0
"312","Introduction To Energy Engineering",11000,"NUCL",0,0,0
"313","Introduction To Naval Science",11000,"NS",0,0,0
"314","Transylvania Study Tour",11002,"SA",0,0,0
"315","Making The Human In Venice",11003,"SA",0,0,0
"317","French Food Culture",11004,"SA",0,0,0
"318","Ethics-Honors",11100,"PHIL",0,0,0
"319","Prototyping In Engineering/Technology Education",11100,"IT",0,0,0
"320","Physical Geology",11100,"EAS",0,0,0
"321","Air Force ROTC Leadership Laboratory I",11100,"AFT",0,0,0
"322","Gateway To Technology Leadership And Innovation",11100,"TLI",0,0,0
"323","First Year Participation In EPICS I",11100,"EPCS",0,0,0
"324","Survey Of Turfgrass Culture",11100,"HORT",0,0,0
"325","Symphony Orchestra",11100,"BAND",0,0,0
"326","Insects In Prose And Poetry",11100,"ENTM",0,0,0
"327","Elementary Standard Arabic Conversation I",11100,"ARAB",0,0,0
"328","Designing For Visualization And Communication",11100,"CGT",0,0,0
"329","Fundamentals Of Biology II",11100,"BIOL",0,0,0
"330","Introduction To Agricultural And Biological Engineering Academic Programs",11100,"AGR",0,0,0
"331","Italian Conversation I",11100,"ITAL",0,0,0
"332","General Chemistry",11100,"CHM",0,0,0
"333","Lifetime Fitness",11100,"PES",0,0,0
"334","Applied Statics",11100,"MET",0,0,0
"335","Conversation Supplement To Russian Level I",11100,"RUSS",0,0,0
"337","Physical Geology",11100,"EAPS",0,0,0
"338","Practical Applications Of Health/Fitness Concepts I",11101,"HK",0,0,0
"339","Italian Conversation II",11200,"ITAL",0,0,0
"340","Conversation Supplement To Russian Level II",11200,"RUSS",0,0,0
"341","Elementary French Conversation I",11200,"FR",0,0,0
"343","General Chemistry",11200,"CHM",0,0,0
"344","Beginning Swim",11200,"PES",0,0,0
"345","Elementary Spanish Conversation",11200,"SPAN",0,0,0
"346","Introduction To Agricultural Economics Academic Programs",11200,"AGR",0,0,0
"348","Earth Through Time",11200,"EAS",0,0,0
"350","Elementary German Conversation",11200,"GER",0,0,0
"352","Aquatics",11200,"HK",0,0,0
"353","Foundations Of Organizational Leadership",11200,"TLI",0,0,0
"354","Earth Through Time",11200,"EAPS",0,0,0
"355","Sketching For Visualization And Communication",11200,"CGT",0,0,0
"356","Elementary Standard Arabic Conversation II",11200,"ARAB",0,0,0
"357","Fundamentals Of Biology",11200,"BIOL",0,0,0
"358","American Music Review",11200,"BAND",0,0,0
"359","Construction Surveying Fundamentals",11201,"BCM",0,0,0
"360","Jazz Ensemble",11300,"BAND",0,0,0
"361","Mechanics Applications",11300,"MET",0,0,0
"362","Introduction To Agronomy Academic Programs",11300,"AGR",0,0,0
"363","Fundamentals Of Biology",11300,"BIOL",0,0,0
"364","Statistics And Society",11300,"STAT",0,0,0
"365","Introduction To Environmental Science",11300,"EAS",0,0,0
"366","Basic Drawing",11300,"AD",0,0,0
"367","Practical Applications Of Health/Fitness Concepts II",11300,"HK",0,0,0
"368","Introduction To Environmental Science",11300,"EAPS",0,0,0
"369","Introduction to Animal Sciences Academic Programs",11400,"AGR",0,0,0
"370","Exercise & Fitness",11400,"PES",0,0,0
"371","Fundament Of Speech-Honors",11400,"COM",0,0,0
"372","Teaching Fitness In Physical Education",11400,"HK",0,0,0
"376","Basic Jazz",11400,"BAND",0,0,0
"378","Drawing II",11400,"AD",0,0,0
"379","Global Moral Issues",11400,"PHIL",0,0,0
"383","General Chemistry",11500,"CHM",0,0,0
"384","Anatomy For VT-DL",11500,"BMS",0,0,0
"385","Introduction To Biochemistry Academic Programs",11500,"AGR",0,0,0
"386","Biology Resource Seminar",11500,"BIOL",0,0,0
"387","Bowling",11500,"PES",0,0,0
"388","Introduction To Communicative Disorders",11500,"SLHS",0,0,0
"389","Earthquakes And Volcanoes",11600,"EAS",0,0,0
"390","Golf",11600,"PES",0,0,0
"392","Earthquakes And Volcanoes",11600,"EAPS",0,0,0
"393","Anatomy II VT-DL",11600,"BMS",0,0,0
"395","Graphic Communication For Students Of Landscape Architects And Design",11600,"LA",0,0,0
"396","Geometric Modeling For Visualization And Communication",11600,"CGT",0,0,0
"399","Symphonic Band",11600,"BAND",0,0,0
"400","General Chemistry",11600,"CHM",0,0,0
"401","Introduction To Entomology Academic Programs",11700,"AGR",0,0,0
"402","Computer Technology In Design",11700,"LA",0,0,0
"403","Introduction To Atmospheric Science",11700,"EAS",0,0,0
"404","Photography I: Black And White Processes And Aesthetics",11700,"AD",0,0,0
"405","Introduction To Atmospheric Science",11700,"EAPS",0,0,0
"406","Concert Band",11700,"BAND",0,0,0
"407","Fundamentals Of Imaging Technology",11800,"CGT",0,0,0
"408","Introduction To Food Science Academic Programs",11800,"AGR",0,0,0
"409","Introduction To Earth Sciences",11800,"EAPS",0,0,0
"410","Introduction To Earth Sciences",11800,"EAS",0,0,0
"411","Analysis Of Sport Performance",11800,"HK",0,0,0
"412","Collegiate Band",11800,"BAND",0,0,0
"413","Instructional Techniques Of Group Exercise",11900,"HK",0,0,0
"414","Unmanned Aerial Systems Inspection And Repair",11900,"AT",0,0,0
"415","Photography II: Color Imaging And Studio Practice",11900,"AD",0,0,0
"416","Introduction To Academic Programs At Purdue",11900,"GS",0,0,0
"417","Introduction To Forestry And Natural Resources Academic Programs",11900,"AGR",0,0,0
"418","Varsity Band",11900,"BAND",0,0,0
"419","Introduction To Public Policy And Public Administration",12000,"POL",0,0,0
"420","Applied Music Studies",12000,"BAND",0,0,0
"421","Elementary Psychology",12000,"PSY",0,0,0
"423","Gateway To Electrical Engineering Technology",12000,"ECET",0,0,0
"424","Water And Food Security",12000,"AGRY",0,0,0
"425","Critical Thinking",12000,"PHIL",0,0,0
"426","Technology And The Individual",12000,"TECH",0,0,0
"427","Introduction To Geography",12000,"EAPS",0,0,0
"428","Analysis Of Sport Performance Training II",12000,"HK",0,0,0
"429","MARS Explorations",12000,"MARS",0,0,0
"430","Freshman Research Project",12000,"NUCL",0,0,0
"431","Foundations Of Air Force II",12000,"AFT",0,0,0
"433","Introduction To Apparel Industry",12000,"CSR",0,0,0
"434","Introduction To Geography",12000,"EAS",0,0,0
"435","Introduction To Horticulture And Landscape Architecture Academic Programs",12000,"AGR",0,0,0
"436","First Year Participation In EPICS II",12100,"EPCS",0,0,0
"437","Introduction To Youth Development And Agricultural Education Academic Programs",12100,"AGR",0,0,0
"438","Biology I: Diversity, Ecology, And Behavior",12100,"BIOL",0,0,0
"439","Biblical Hebrew Level I",12100,"HEBR",0,0,0
"440","Air Force ROTC Leadership Laboratory II",12100,"AFT",0,0,0
"441","Biblical Hebrew Level II",12200,"HEBR",0,0,0
"442","Introduction To Natural Resources And Environmental Science Academic Programs",12200,"AGR",0,0,0
"443","Introduction To College Of Agriculture Pre Veterinary Medicine Academic Programs",12400,"AGR",0,0,0
"444","Introduction To Interior Design",12500,"AD",0,0,0
"445","Food Safety Certification",12500,"FN",0,0,0
"446","Introduction To Chemistry I",12500,"CHM",0,0,0
"447","Food Safety Certification",12500,"NUTR",0,0,0
"448","Introduction To Plant Science",12500,"AGR",0,0,0
"449","Introduction To Chemistry II",12600,"CHM",0,0,0
"450","General Chemistry With A Biological Focus",12901,"CHM",0,0,0
"451","Structural Systems",13000,"BCM",0,0,0
"452","Interior Design Communication",13000,"AD",0,0,0
"453","Introduction To Medical Laboratory Science",13000,"HSCI",0,0,0
"455","Strength And Conditioning Roundtable",13000,"HK",0,0,0
"456","Fundamental Principles Of Dance Technique",13000,"DANC",0,0,0
"458","Intro To Intl Relations-Honors",13000,"POL",0,0,0
"462","Medical Terminology",13100,"HSCI",0,0,0
"464","Transforming Ideas To Innovation I",13100,"ENGR",0,0,0
"465","Biology II: Development, Structure, And Function Of Organisms",13100,"BIOL",0,0,0
"466","Transforming Ideas To Innovation II",13200,"ENGR",0,0,0
"467","Transforming Ideas To Innovation, EPICS",13300,"ENGR",0,0,0
"468","Survey Of Acting",13300,"THTR",0,0,0
"469","First year Biology Laboratory",13500,"BIOL",0,0,0
"470","Physiology For VT-DL",13500,"BMS",0,0,0
"471","Introduction To Health And Kinesiology",13500,"HK",0,0,0
"472","Personal Computing Technology And Applications",13600,"CNIT",0,0,0
"473","General Chemistry Honors",13600,"CHM",0,0,0
"474","Physiology For Vet Tech II - DL",13600,"BMS",0,0,0
"475","Freshman Seminar In Earth And Atmospheric Sciences",13700,"EAS",0,0,0
"476","Mathematics For Elementary Teachers I",13700,"MA",0,0,0
"477","Freshman Seminar In Earth And Atmospheric Sciences",13700,"EAPS",0,0,0
"478","Mathematics For Elementary Teachers II",13800,"MA",0,0,0
"479","Thunderstorms And Tornadoes",13800,"EAS",0,0,0
"480","Thunderstorms And Tornadoes",13800,"EAPS",0,0,0
"481","Mathematics For Elementary Teachers III",13900,"MA",0,0,0
"482","Small Animal Nursing I For Vet Techs-DL",14000,"VCS",0,0,0
"483","Introduction To Veterinary Technology",14000,"VM",0,0,0
"484","Dance Improvisation",14000,"DANC",0,0,0
"485","Veterinary Technology Abroad",14001,"SA",0,0,0
"487","Financial Accounting For The Service Industries",14100,"HTM",0,0,0
"488","Small Animal Nursing II For Vet Techs-DL",14100,"VCS",0,0,0
"489","Internet Foundations Technologies And Development",14100,"CGT",0,0,0
"490","Honors Creativity And Innovation In Engineering Design I",14100,"ENGR",0,0,0
"491","Govts Of The World-Honors",14100,"POL",0,0,0
"493","Honors Creativity And Innovation In Engineering Design II",14200,"ENGR",0,0,0
"494","Diagnostic Imaging For Vet Techs I -DL",14200,"VCS",0,0,0
"495","Materials And Processes I",14300,"MET",0,0,0
"496","Diagnostic Imaging For Vet Techs II -DL",14300,"VCS",0,0,0
"497","Contact Improvisation",14400,"DANC",0,0,0
"498","Materials And Processes II",14400,"MET",0,0,0
"499","Private Pilot Lectures",14400,"AT",0,0,0
"500","Anesthesia For Vet Techs I -DL",14500,"VCS",0,0,0
"501","Private Pilot Flight",14500,"AT",0,0,0
"502","First Year Biology Laboratory With Neuro Research Project",14501,"BIOL",0,0,0
"503","Anethesia For Vet Techs II -DL",14600,"VCS",0,0,0
"504","Introduction To Biology",14600,"BIOL",0,0,0
"505","Design Drawing I",14600,"AD",0,0,0
"506","Visual Effects Introduction",14700,"CGT",0,0,0
"507","Principles Of Techniques and Sterilization-DL",14700,"VCS",0,0,0
"508","Large Animal Nursing and Health Management I - Distance Learning",14800,"VCS",0,0,0
"509","Mechanics, Heat, And Wave Motion",14900,"PHYS",0,0,0
"510","Large Animal Nursing and Health Management II - Distance Learning",14900,"VCS",0,0,0
"511","Preservation Issues",15000,"LA",0,0,0
"512","Principles Of Logic",15000,"PHIL",0,0,0
"513","Clinical Pathology I-DL",15000,"CPB",0,0,0
"514","Introduction To Drafting",15001,"THTR",0,0,0
"515","Introduction To Scenery Construction Tools And Techniques",15002,"THTR",0,0,0
"516","Introduction To Rigging For Theatre",15003,"THTR",0,0,0
"517","Building Preservation",15100,"LA",0,0,0
"518","Clinical Pathology II-DL",15100,"CPB",0,0,0
"519","American History To 1877",15100,"HIST",0,0,0
"520","Business Principles For Organizational Leadership",15200,"TLI",0,0,0
"521","United States Since 1877",15200,"HIST",0,0,0
"522","Community Preservation",15200,"LA",0,0,0
"523","Clinical Pathology III-DL",15200,"CPB",0,0,0
"524","College Algebra",15200,"MA",0,0,0
"525","Agricultural Communication Seminar",15200,"YDAE",0,0,0
"526","Algebra And Trigonometry I",15300,"MATH",0,0,0
"527","Algebra And Trigonometry I",15300,"MA",0,0,0
"528","Algebra And Trigonometry II",15400,"MATH",0,0,0
"529","Algebra And Trigonometry II",15400,"MA",0,0,0
"530","Introduction to Object-Oriented Programming",15500,"CNIT",0,0,0
"531","Introduction To Soil Morphology",15500,"AGRY",0,0,0
"532","Introduction To Software Development Concepts",15501,"CNIT",0,0,0
"533","Quantitative Reasoning",15555,"MA",0,0,0
"534","C Programming",15800,"CS",0,0,0
"535","Precalculus- Functions And Trigonometry",15800,"MA",0,0,0
"536","Precalculus",15900,"MA",0,0,0
"537","Programming Applications For Engineers",15900,"CS",0,0,0
"538","Introduction To Calculus",15910,"MA",0,0,0
"539","Introduction To Scene Design And Technology",16000,"THTR",0,0,0
"540","Applied Calculus I",16010,"MA",0,0,0
"541","Applied Calculus II",16020,"MA",0,0,0
"542","Applied Calculus II And Differential Equations",16021,"MA",0,0,0
"543","Prototyping In Engineering/Technology Education",16100,"TLI",0,0,0
"544","Plane Analytic Geometry And Calculus I",16100,"MA",0,0,0
"545","Science Of Food",16100,"FS",0,0,0
"546","Introduction To Costume Design And Technology",16100,"THTR",0,0,0
"547","Introduction To Light Design And Technology",16200,"THTR",0,0,0
"548","Plane Analytic Geometry And Calculus II",16200,"MA",0,0,0
"549","Computational Analysis Tools In MET",16200,"MET",0,0,0
"550","Introduction To Food Processing",16200,"FS",0,0,0
"551","Introduction To Event And Meeting Planning Industry",16200,"HTM",0,0,0
"552","Introduction To Sound Design And Technology",16300,"THTR",0,0,0
"553","Introduction To Graphics For Manufacturing",16300,"CGT",0,0,0
"555","Graphics For Civil Engineering And Construction",16400,"CGT",0,0,0
"556","Introduction To Theatre Organization And Management",16400,"THTR",0,0,0
"557","Analytic Geometry And Calculus I",16500,"MA",0,0,0
"558","History And Theory Of Landscape Architecture",16600,"LA",0,0,0
"559","Analytic Geometry And Calculus II",16600,"MA",0,0,0
"560","Introduction To Actuarial Science",17000,"MA",0,0,0
"561","Introduction To Actuarial Science",17000,"STAT",0,0,0
"562","Modern Mechanics-Honors",17200,"PHYS",0,0,0
"564","Human-Centered Design And Development Experience Studio I",17207,"CGT",0,0,0
"565"," HCDD Learning Studio I",17208,"CGT",0,0,0
